List	Class	Genes
COSMIC CGC 20171009	Cancer	DROSHA
COSMIC CGC 20171009	Cancer	EBF1
COSMIC CGC 20171009	Cancer	EGFR
COSMIC CGC 20171009	Cancer	EIF3E
COSMIC CGC 20171009	Cancer	EIF4A2
COSMIC CGC 20171009	Cancer	ELF4
COSMIC CGC 20171009	Cancer	ELK4
COSMIC CGC 20171009	Cancer	ELL
COSMIC CGC 20171009	Cancer	EML4
COSMIC CGC 20171009	Cancer	EP300
COSMIC CGC 20171009	Cancer	EPAS1
COSMIC CGC 20171009	Cancer	EPS15
COSMIC CGC 20171009	Cancer	ERBB2
COSMIC CGC 20171009	Cancer	ERBB3
COSMIC CGC 20171009	Cancer	ERBB4
COSMIC CGC 20171009	Cancer	ERC1
COSMIC CGC 20171009	Cancer	ERCC2
COSMIC CGC 20171009	Cancer	ERCC3
COSMIC CGC 20171009	Cancer	ERCC4
COSMIC CGC 20171009	Cancer	ERCC5
COSMIC CGC 20171009	Cancer	ERG
COSMIC CGC 20171009	Cancer	ESR1
COSMIC CGC 20171009	Cancer	ETNK1
COSMIC CGC 20171009	Cancer	ETV1
COSMIC CGC 20171009	Cancer	ETV4
COSMIC CGC 20171009	Cancer	ETV5
COSMIC CGC 20171009	Cancer	ETV6
COSMIC CGC 20171009	Cancer	EWSR1
COSMIC CGC 20171009	Cancer	EXT1
COSMIC CGC 20171009	Cancer	EXT2
COSMIC CGC 20171009	Cancer	EZH2
COSMIC CGC 20171009	Cancer	EZR
COSMIC CGC 20171009	Cancer	FAM46C
COSMIC CGC 20171009	Cancer	FANCA
COSMIC CGC 20171009	Cancer	FANCC
COSMIC CGC 20171009	Cancer	FANCD2
COSMIC CGC 20171009	Cancer	FANCE
COSMIC CGC 20171009	Cancer	FANCF
COSMIC CGC 20171009	Cancer	FANCG
COSMIC CGC 20171009	Cancer	FAS
COSMIC CGC 20171009	Cancer	FAT1
COSMIC CGC 20171009	Cancer	FAT4
COSMIC CGC 20171009	Cancer	FBXO11
COSMIC CGC 20171009	Cancer	FBXW7
COSMIC CGC 20171009	Cancer	FCGR2B
COSMIC CGC 20171009	Cancer	FCRL4
COSMIC CGC 20171009	Cancer	FES
COSMIC CGC 20171009	Cancer	FEV
COSMIC CGC 20171009	Cancer	FGFR1
COSMIC CGC 20171009	Cancer	FGFR1OP
COSMIC CGC 20171009	Cancer	FGFR2
COSMIC CGC 20171009	Cancer	FGFR3
COSMIC CGC 20171009	Cancer	FGFR4
COSMIC CGC 20171009	Cancer	FH
COSMIC CGC 20171009	Cancer	FHIT
COSMIC CGC 20171009	Cancer	FIP1L1
COSMIC CGC 20171009	Cancer	FLCN
COSMIC CGC 20171009	Cancer	FLI1
COSMIC CGC 20171009	Cancer	FLT3
COSMIC CGC 20171009	Cancer	FLT4
COSMIC CGC 20171009	Cancer	FOXA1
COSMIC CGC 20171009	Cancer	FOXL2
COSMIC CGC 20171009	Cancer	FOXO1
COSMIC CGC 20171009	Cancer	FOXO3
COSMIC CGC 20171009	Cancer	FOXO4
COSMIC CGC 20171009	Cancer	FOXP1
COSMIC CGC 20171009	Cancer	FSTL3
COSMIC CGC 20171009	Cancer	FUBP1
COSMIC CGC 20171009	Cancer	FUS
COSMIC CGC 20171009	Cancer	GAS7
COSMIC CGC 20171009	Cancer	GATA1
