List	Class	Genes
COSMIC CGC 20171020 Germline	Cancer Germline	SUFU
COSMIC CGC 20171020 Germline	Cancer Germline	TERT
COSMIC CGC 20171020 Germline	Cancer Germline	TGFBR2
COSMIC CGC 20171020 Germline	Cancer Germline	TMEM127
COSMIC CGC 20171020 Germline	Cancer Germline	TP53
COSMIC CGC 20171020 Germline	Cancer Germline	TP63
COSMIC CGC 20171020 Germline	Cancer Germline	TSC1
COSMIC CGC 20171020 Germline	Cancer Germline	TSC2
COSMIC CGC 20171020 Germline	Cancer Germline	TSHR
COSMIC CGC 20171020 Germline	Cancer Germline	VHL
COSMIC CGC 20171020 Germline	Cancer Germline	WAS
COSMIC CGC 20171020 Germline	Cancer Germline	WRN
COSMIC CGC 20171020 Germline	Cancer Germline	WT1
COSMIC CGC 20171020 Germline	Cancer Germline	XPA
COSMIC CGC 20171020 Germline	Cancer Germline	XPC
